tweet,sentiment
"Ty nie masz pojecia o czym mowisz lewicowy populisto🇧🇷nie akceptuje  technokratycznego zamachu stanu i sfałszowanych wyborów Komunisty Luli. Mieszkańcy Brazylii wiedzą, że ich ostatnie wybory zostały sfałszowane rozpoczyna  się wojna domowa.",negative
"Jacy wy musicie być tępi niewiedząc, że w demokratycznych wyborach, które odbędą się na jesień - nie macie szans - proponujemy wyjechać do swoich sponsorów z Berlina i Moskwy.",negative
"Zapomniał pan jak podczas ""puczu"" w Sejmie poseł  Nitrogliceryna  grzebał i ""szabrował"" w cudzej własności? Teraz z ciebie demokrata z ZUS???",negative
Ale tępa propaganda. Jak za Gomułki.,negative
"Głupszej opozycji bluźniącej faktom i rozumowi nie było od chrztu Polski. #Pis może coś robić albo nic nie robić, a i tak wygra wybory, bo alternatywy nie ma, w czym pan jeszcze nigdy nie pomógł. Po co się zawsze odzywać i nabijać rządowi punkty za darmo🤔 #Mistyka #MrokiTajemnic",negative
to samo robiliście po 2015r,negative
Genialne!,positive
Spierdalaj esbecki lizidupie,negative
Kretyn,negative
"Oni wam ustępują, nie utworzyli KOD,, Wielu ruchawek ulicznych i próby przewrotu .",negative
🤣,negative
A kto ma rządzić …. niemiec ? . Lub pedały i inne stworzenia … ludzie głupi bez tożsamości +,negative
Borys a zapomniałeś jak było z obaleniem Janukowycza w 2014? Wtedy było obalenie demokratyczne?,negative
"Atak ogórkiem na TVP, to wspólny mianownik dla lewactwa i łysych",negative
a co wy buraku robiliście po wygraniu wyborów przez PiS?,negative
"Masz rację Budka,ty i twoji kolesie zasługują jedynie na kopa w zad.",negative
Najpierw trzeba wygrać wybory i to zdecydowanie. A hołota zawsze będzie hołotą…,positive
Barys a żona uznała już rozliczenie z ZUS? 😂,negative
"Przemówił człowiek żarówka, 🤣",negative
"Jeżeli powiedziałeś to patrząc w lustro to super, brawo w końcu się przyznałeś👏",negative
No i przypomniał mi się wigilijny pasztet ;-),negative
I pomyśleć że kiedyś Platforma mieniła się prawicą,negative
Budka ty zawsze po stronie lewactwa 😄 taki lewaczek jesteś,negative
Wy tam won od prawo myślących a zajmijcie pedofilą w platfusowni oraz naszego człowieka w Warszawie 😂😂😂,negative
"Dokładnie🤣. Strach przed kolejną porażką 😁 okroić, żelazna miotła, wyzwiska,zakneblować usta dziennikarzom itd.",negative
"Ty QRWO LEWACKA ,jak określisz ciamajdan po przegranych wyborach",negative
"Nie musi, klepie za pomocą reżimowej tv ludziom głupoty, łatwiej się steruje głupimi ludźmi ;)",positive
"A ten wasz śmieszny ciamajdan pamiętasz, pajacu ?",negative
"Budka, to tak, jak wy.... szczujecie i nawołujecie do siłowego przejęcia władzy! To wasz Tusek, dostaje FURII, wściekły krzyczy i grozi...""trzeba mieć determinację, mięśnie i gotowość do poważnego starcia"". Straszy, że będzie wyprowadzał siłą i...""wymiatał żelaznymi grabiami"".",negative
"Właśnie potwierdziłeś, że nie zasługujecie na rządzenie. U was sami POpaprańcy.",negative
"Pamiętacie tych zwyrodnialców atakujących sejm w grudniu 2016 roku. To bydło pełne nienawiści, agresywne do granic, atakujące demokratyczne struktury państwa i policję? Pamiętacie Kolędę Zalewską, która pytała retorycznie co się stanie jak tłum nie wytrzyma? Liberofaszyzm!",negative
To tak jak PO atakowali Polski Parlament i Polskie Ulice rzadajac przewrotu. Teraz lysy szuka auterytetu!,negative
Zapomniał pan o słynnym na cały świat Ciamajdanie?,negative
"A wy nigdy nie próbowaliście podobnych metod ? Operacja ""Prawie zbity na śmierć"" i później podczas zamieszania w zwiazku z aborcja.",negative
"""nieuznawanie demokratycznych rozstrzygnięć"" to specjalność  PO od 2015 roku🙂. Hipokryta złapany na krętackim oburzeniu.",negative
Budka i PO   też nie  powinni żądzić. To jest chora partia która się sprzedaje wszystkim,negative
".... nie zapominaj , wasze pomioty , bydło skończone , zwane kodowcami , to samo robili !!!! ..... więc nasrałeś w własne gniazdo !!     😂😂😂😂😂😂😂",negative
Oskar wypierdalaj,negative
Szanuję tą wypowiedź za szczerość. Mało kto potrafi być tak samokrytyczny.,negative
To wypierdzielaj z rudym do kolegów na wschód,negative
Eeee teeee pupka a ciamajdan itp. okupacje instytucji publicznych już zapomniał. Łącznie z blokowaniem drogi przez wściekłe macice. hipokryto lewy,negative
"Ruska buda, spalona budka, walnięty budka ..",negative
Czyli Ciamajdan. Pewnie chcą tego nie pamiętać.,negative
"Ty łysy ch_uju!   Lewactwo do którego należysz, odpowiedzialne jest za setki milionów wymordowanych w najokrutniejszy sposób ludzi!  Tak jak na przykład czerwoni khmerzy, których rocznica obalenia niedawno przypadała!  Zamknij więc ryja czerwony wiep_rzu!!",negative
"A wyscie zrobili Ciamajdan okupujac sejm przez Swieta Bozego Narodzenia w 2016r. Dla komuchow to tylko ""demokracja"" wyjeta z polnocnej korei jest ta wlasciwa.",negative
"Myślę,  że każdy szanuje TK, ale nie Garkuchnię Przyłębskiej. Rządu nie ma obowiązku szanwać, bo niby dlaczego?",positive
"Samokrytyka, podobno, uszlachetnia, ale wam już nic nie pomoże 🙈",negative
"Łysy zmieniłbyś choć jedno słowo w tym przekazie dnia ,a nie takie ""kopiuj-wklej ""!",negative
"SzP. szkoda, że zadymy czynią zakompleksieni/ ułomni...przyzwyczajeni do/z czasów KOMU NIC?",negative
Można się porzygac,negative
"Gomułka, a pamiętasz ciamajdan?",negative
a ciamajdan pamiętacie ?,negative
Nie zesraj się 😂,negative
Akurat ten opis pasuje idealnie do was.,negative
To wspólny mianownik dla pana i pańskich kolegów…,negative
"Panie Budka, lichorodzie - amnezji doznałeś..? A może mózg panu aborcjonowano..?
Przywrócić pamięć - jakich kretynów w Sejmie z siebie robiliście..?",negative
nie wolno tak porównywać ... 🤣🤣🤣,neutral
"ale wy jesteście obłudnymi hipokrytami, śpieszno do koryta co? zapomnij, te wybory też przegracie, dzbany...",negative
Co ty pierdolisz budka? Ty i tobie podobni nie uznajecie wyników demokratycznych wyborów. Jesteście antydemokratyczni i żałośni.,negative
Budka udaje debila ze skleroza czy w swojej nienawiści miesza fakty zaraz stwierdzi że to prawica okupowała sejm,negative
"Nie, wwozili do parlamentu ludzi w bagażniku i udawali na ulicy zmarłych.",neutral
"porozmawiajmy o puczu z 2016, hiPOkryto 😂",negative
Co chcesz czlowieku od totalnej paly do lania zwanej budka jak wszystkie totalniackie mendy z po-Ko uznaja wybory za demokratyczne tylko wtedy gdy wygrywaja,negative
"""z obietnicami rozdawnictwa nierobom - bo to powinno się skończyć raz na zawsze"" tu pełna zgoda",positive
"Borysku nie pamiętasz, jak miałeś nocne czuwanie w sejmie? Błazen jesteś i hipokryta.",negative
Video hańby,neutral
"Ja nie neguję że on istnieje. Ja neguję strategię PO polegająca na opluwaniu PIS zamiast rozmowy i przedstawieniu propozycji jak coś zmienić. Jeżeli ktoś nie jest ANTYPIS (nie mylić z popieraniem PIS) to taka kampania odrzuca. Można pokazać to zrobili źle, my zrobimy tak.",negative
"Borys, nie zesraj się. Wiesz dobrze, że i was to może czekać prawda? Ludzie maja prawo okazywać swoją niechęć dla parszywych oszustów, jakimi was widzimy 😎. Oczywiście lewacka antifa to ""kółko różańcowe"" tak? Oni mogą demolować Europę tak?",negative
"Nawiązuje pan do okupacji sejmu po przegranych wyborach?
Tak, z  chwilą ogłoszenia się opozycją totalną  i podjęciem działań destabilizujących pracę rządu nawet kosztem szkodzenia Polsce bezpowrotnie utraciliście wiarygodność i jako tacy powinniście zniknąć ze sceny politycznej",negative
"A teraz jak jest?!
Sama spadaj!!!",negative
Grudzień 2016 coś Panu mówi? 🤭🤭,negative
"Czyli jednak odżegnujecie się od prawicy? 
Nie oczekuję odpowiedzi 🤔",neutral
Lepiej być lewakiem dewiantem⁉️spierdalaj‼️,negative
"To co robicie na tt wskazuje na epidemię echolalii w waszych szeregach. 😱
Warto by się jednak skonsultować medycznie ...😬",negative
"Jeszcze tych dwóch prawicowych terrorystach w bagażniku samochodu, którzy chcieli się dostać do Sejmu zapomniał Pan wapomnieć.",negative
Łysy zapomniałeś co robiliście siedem lat temu po przegranych wyborach? Teraz jak przegracie to znowu planujecie zamach stanu ?,negative
O nowe wytyczne i wszyscy nadajecie w tym samym tonie 🤦‍♂️jakie to nudne i przewidywalne ☹️,negative
Pamiętasz 2016r. i ciamajdan jaki urządziliście pod Sejmem i w wewnątrz? Do dziś podważacie prawo Zjednoczonej Prawicy do rządzenia Polską. Totalnie nie uznajecie żadnych decyzji demokratycznie wybranego Rządu RP. Zamknął byś się w końcu hipokryto‼️🤬🤢🤮,negative
"I co, zajęli pałac prezydencki ?",neutral
Chcą robić podobnie jak Łukaszenka na Białorusi!,positive
ty pajacu pełowski to jest dokładnie to co wy robicie....,negative
Brak szacunku dla Polski i wyborców.  Zamilcz i pracuj do śmierci wg. swoich zapowiedzi w oczyszczalni ścieków  w Warszawie.,negative
Ty i twoja anty Polska opozycja nie zasługujesz na nic. Także mając odrobinę honoru opuść sejm i odsuń się od polityki bo więcej szkody robisz niż pożytku.,negative
właśnie się zaorałeś . 😂😂😂🤦‍♀️🤦‍♀️🤦‍♀️ dzban wędruje do Borysława 😂😂😂,negative
"To jednak nie odpowiada na moje pytanie, co się stanie, jak te pisbolszewickie bydlaki nie oddadzą władzy?
Co wtedy ?",positive
A wasi lewaccy rozbójnicy niszczą pomniki i rozwieszają te paskudne kolorowe flagi😉,negative
"A patrz, senat z takich ludzi chce zrobić ławników SN.",neutral
"Łysa pała,zapomniałeś jak blokowaliście Polski Parlament ?",negative
"Branie łapówek, to wspólny mianownik lewicy i liberałów ?",negative
Dokładnie Martuś.,neutral
"Na szczęście nie jesteś lekarzem, tylko idiotą.",negative
Borys jak wjechał z samokrytyką w Nowy Rok…,negative
A kto tam poddawał w wątpliwość demokrację po wyborach na Białorusi?,negative
Nie dla p. Borysa,negative
"A na co ty zasługujesz , porucznik pogardy .",negative
"w PL będzie to samo, jeśli nie sfałszują wyborów",positive
"ej gnido zakłamana, a kto wylazł na ulicę, kto tam kurwa do tej pory siedzi, pod przykrywką jakichś KODów i Obywateli RP? no słucham kurwa?
kto mordę darł że będzie milion? gdzie te wasze tysiące co miały na ulicy obalić PiS?

weźcie wy i zdechnijcie politycznie w końcu.",negative
"Szczekający łysy kundelek Donalda ,znów bredzi",negative
ty wez idz sie wykapac wez zimny prysznic albo cos chlopie Dupke umyj,negative
"Nie zakłamiesz rzeczywistości że to opozycja czyli PO-PSL-SLD i jej poczwary to są ci agresywni, podjudzający, szczujący i wyprowadzający ludzi na ulicę, macie zorganizowane bojówki i chuliganów, zrobiliście z polityki szambo, to wy macie na sumieniu dwa zabójstwa polityczne !!",negative
Czym bliżej do wyborów tym będzie większa sraczka 🙃 widzę szmaty że nie mają szans.,negative
Jak narazie to wam przeszkadza przewaga PiS w demokratycznych wyborach. Poza tym razem z PiS i pozostałymi partiami poza Konfederacją podpisywaliście się na wszystkich niekonstytucyjnych ograniczeniach od 2019 roku do lutego 2022,negative
Was na to stać bo odkąd ogłoszono wyniki wyborów tak jątrzycie bo nie umiecie się pogodzić z przegraną.Nie daj panie abyście kiedykolwiek doszli do władzy.,negative
"Kto to oni bo jesteście dokładnie tacy sami, tylko kłamiecie i manipulujecie z drugiej strony 😅🤣
Jaki macie program koleżko po ewentualnym wygraniu wyborow?",negative
"Może lepiej porozmawiajmy o wspólnym mianowniku lewackiego i liberalnego chłamu.
Kłamstwo, manipulacja nieprzerwany ciąg oszustw, w tym wyborczych.",negative
"""Brak szacunku dla instytucji publicznych, nieuznawanie demokratycznych rozstrzygnięć, strach  przed wyborczą porażką"" - świetny opis PO, POKO czy jak was tam zwą. Chwila szczerości Borysława G.",negative
Idioto brzydki jesteś jak noc listopadowa ty łysa pało,negative
Ciamajdan w Warszawie,negative
Buderson ty dzbanie zapomniałeś jak sami robiliście zadymy lepiej już zamilknij Brukselski kundlu 🤦‍♂️🤦‍♂️🤦‍♂️,negative
"Uważaj Budka z tym nawoływaniem do buntu wobec legalnie wybranej władzy w Polsce, żeby to ciebie czasami nie wywieźli na taczkach!",negative
"Autorytet faktycznie do dupy ale jednak dobrze powiedział, tym razem mu się udało.",neutral
Tylko.....podobnie jak Rosjanie....farmerka,neutral
"Zapomniałeś dodać, atak na Sejm przez ciebie i twoich kumpli w 2015. Dalej o braku szacunku dla demokracji, z tym że przez lewactwo, wszystko się zgadza.",negative
"Tak a Rewolucja Rosyjska , Francuska to też „prawi populiści” 😂",negative
"Przypomnę atak w Boże Narodzenie buraków z PO, Nowoczesnej 
Totalne chamstwo i brak szacunku dla Sejmu Rzeczypospolitej",negative
Zapomniałeś wole co wyprawialiscie w 2016?,negative
"Gamoniu! ""Brak szacunku dla instytucji publicznych, nieuznawanie demokratycznych rozstrzygnięć, strach  przed wyborczą porażką to wspólny mianownik  .... Oni nie zasługują, by rządzić jakimkolwiek krajem"". Przecież to opis totalnej opozycji. Jak można być takim kretynem?",negative
Nie planujecie czasami czegoś podobnego?,negative
Pany to przydałby się słownik ortograficzny.,neutral
"Ty będziesz bubku żołędny rozstrzygał kto zasług na demokrat mandat a kto nie?

Wiadomo, że szykujecie się do kolejnego ciamajdanu, ale tym razem państwo prawa będzie lepiej przygotowane na Wasze rozroby. Dobrze, że z UE dzisiaj też płyną głosy o konieczności uzn wynikow wyborów.",negative
Nie masz jakis powaznych autorytetów???,negative
pedofile przestępcy zdrajcy 🇷🇺🇩🇪 to was dajasz obraz dziwię się że ktoś na was daje głos na was nawet nie można zaszczekać niemiecko ruskie kundle bez pomysłu i koncepcji nic nie umiecie kaleki rudy her fuhrer 🖕 tfuSSk to debil psychicznie chory lizecie jajka debilowi🇷🇺🇩🇪🖕🌈🌈,negative
O solidaryzmie i interwencjonizmie to marksista z Konfederacji nie słyszał. Znieść podatki jak w ZSRR co nie?,neutral
"to, że jest ich tak dużo świadczy o tym, że świat sie rozpada",positive
"zasługuje ten, kto wygrywa wybory...
to takie proste",neutral
"Ty normalnie głupi jesteś do tego stopnia, że nie zauważyłeś, że mówisz i sobie i swojej partii 😂😂😂😂 Qrva, co za dzban !!!",negative
"ty łysy budka twój kolega łysy bury kundel od ruskich ogórków łysy gramatyka nie wiedział że 600.000tysi ""zarobi""jacyś jebnięci jesteście PiS was kładzie na łopatki z każdym pomysłem a wy na programie teletydzień dlaleko nie zajedziecie najdalej do Berlina albo Moskwy zdrajcy🇷🇺🖕",negative
"Janku - wróć na lekcje polskiego. Klasa 1-3 się kłania. Nauczysz się odróżniać „rz” od „ż”, bo siara straszna w tak prostym słowie.",neutral
A co BB robił po ostatniej wygranej PIS???,negative
Lepiej dzieci zabijać jak lewacy.,negative
Ogór z tobą  !!! 🤣🤣🤣🤣🤣 !!! Tfuu,negative
to szmaciarz. Nie fizycznie. Mentalnie,neutral
"Pan przeczyta ze zrozumieniem te swoje wypociny i… najlepiej odejdzie w niebyt, lub chociaż dla przyzwoitości zamknie konto .",negative
Brawo. Pan tak o sobie i swoich wyznawcach od 7 lat to czyniących. Odważnie... Ten brak szacunku do instytucji publicznych i nie uznawanie demokratycznych rozstrzygnięć. Nie spodziewałam się samokrytyki.,negative
"To jest piękne,ilekroć pacany z opozycji coś pompują,zaraz internauci ich miażdżą 🥳🥳🥳🤣🤣🤣",negative
To ciekawe czym nazwać Wasz ciamajdan xd,negative
U nas atakują ogórkami i nikt z tego afery nie robi 😂🤣,neutral
"Człowiek, który nie ma pojęcia o niczym albo łajdak. Nie znam, nie wiem.",negative
"Przegrał, ośle, w 2007. I jakoś nie wzywał do obalenia władzy. To program PO: Ulica i Zagranica.",negative
"kundel spuszczony z łańcucha her fuhrer 🖕 tfuSSk pozwolił szczekać łysemu kundlowi niemiecka banda to chamstwo,kłamstwo,dyktatura i rusko niemiecka propaganda debile 🇷🇺🇩🇪🖕 kto jeszcze na to gówno oddaje głos to zdrajcy 🇷🇺🇩🇪 kochający Niemców i kacapów 🖕 antypolska bolszewią🖕",negative
"Może i tak, ale herszt von Tuska nie jest w stanie z kłamstwem przeskoczyć.",negative
😎🔨,negative
Ulica i zagranica wpisuje się w dokładnie ten sam schemat nieuznawania wyników demokratycznych wyborów itd.,negative
"Babka Tuska nie była w Luftwaffe, tylko była korektorką w niemieckim nazistowskim pisemku propagandowym. Ot, taka to familia.",negative
"Tak było.
To zdjęcie dokumentalne protestu Polaków przed sPISkowym łamaniem konstytucji RP.",positive
"A co wy totalna opozycji lewicowo-liberalna, zrobiliście jeszcze nie tak dawno przy blokowaniu mównicy w Sejmie. Nie wspominając o atakach na placówki posłów PiS-u i płomiennym atakowaniu siłowym prezesów Orlenu, NBP. Czym o się różni od wydarzeń w Brazylii.",negative
Gówno flaga. Ban,neutral
Tępa łysa pała!!!!🤮🐷🤮,negative
"Boże Pan sobie ta wypowiedzią ukręcił bat na własne plecy. Chociaz nie ukrywam akcja #ciamajdan była dosyć zabawna. Te krótkofalówki i posłanka śpiewajaca o ""puczu"".",negative
PO-wski tępak zapomniał już o ciamajdanie itp.,negative
A ciamajdan pamiętasz?,negative
🤦🤣😂🤣😂🤣. Przecież to wasza strategia.😂🤣😂🤣,negative
"Otóż to, organizatorów ciamajdanu wyślijmy na POlityczną emeryturę.",negative
